metric,score
hypervolume/MOLavaGridCheckerBoard-v0,61063.43168260659
hypervolume/MOLavaGridSmiley-v0,65013.980316807654
hypervolume/MOLavaGridSnake-v0,158520.89951559334
hypervolume/MOLavaGridIslands-v0,163131.88813606204
hypervolume/MOLavaGridLabyrinth-v0,332142.8742444844
hypervolume/MOLavaGridMaze-v0,77189.5515339442
hypervolume/MOLavaGridCorridor-v0,55871.7630678717
hypervolume/MOLavaGridRoom-v0,64988.18587161333
normalized_hypervolume/MOLavaGridCheckerBoard-v0,0.0
normalized_hypervolume/MOLavaGridSmiley-v0,0.0
normalized_hypervolume/MOLavaGridSnake-v0,0.0
normalized_hypervolume/MOLavaGridIslands-v0,0.1414965802640084
normalized_hypervolume/MOLavaGridLabyrinth-v0,0.1659822759074205
normalized_hypervolume/MOLavaGridMaze-v0,0.0190958669415295
normalized_hypervolume/MOLavaGridCorridor-v0,0.0
normalized_hypervolume/MOLavaGridRoom-v0,0.0
eum/MOLavaGridCheckerBoard-v0,-256.0653994886537
eum/MOLavaGridSmiley-v0,-226.23390274227933
eum/MOLavaGridSnake-v0,-158.2849103528901
eum/MOLavaGridIslands-v0,-168.7428351850483
eum/MOLavaGridLabyrinth-v0,-33.23785571787583
eum/MOLavaGridMaze-v0,-231.5744884317167
eum/MOLavaGridCorridor-v0,-295.26887721524514
eum/MOLavaGridRoom-v0,-226.42868250052024
NHGR/MOLavaGridCheckerBoard-v0,0.0
NHGR/MOLavaGridSmiley-v0,0.0
NHGR/MOLavaGridSnake-v0,0.0
NHGR/MOLavaGridIslands-v0,0.14151237267151429
NHGR/MOLavaGridLabyrinth-v0,0.16616595575132867
NHGR/MOLavaGridMaze-v0,0.019137740334055207
NHGR/MOLavaGridCorridor-v0,0.0
NHGR/MOLavaGridRoom-v0,0.0
EUGR/MOLavaGridCheckerBoard-v0,0.0
EUGR/MOLavaGridSmiley-v0,0.0
EUGR/MOLavaGridSnake-v0,0.0
EUGR/MOLavaGridIslands-v0,0.0
EUGR/MOLavaGridLabyrinth-v0,0.0
EUGR/MOLavaGridMaze-v0,0.0
EUGR/MOLavaGridCorridor-v0,0.0
EUGR/MOLavaGridRoom-v0,0.0
